Destination,Destination Port,Label,ssh,web
209.61.101.126,80,web,,37.0
209.61.5.124,80,web,,8.0
209.63.195.70,80,web,,31.0
209.64.13.10,80,web,,1.0
209.64.144.2,80,web,,35.0
209.66.74.13,80,web,,86.0
209.67.137.147,80,web,,5.0
209.67.137.155,80,web,,1.0
209.67.139.35,80,web,,16.0
209.67.139.37,80,web,,40.0
209.67.16.72,80,web,,17.0
209.67.181.20,80,web,,3.0
209.67.19.128,80,web,,14.0
209.67.19.82,80,web,,7.0
209.67.19.99,80,web,,2.0
209.67.204.246,80,web,,5.0
209.67.227.100,80,web,,5.0
